"","year","name","unemployment_rate","gdp","population","income","total_area_sq_km","land_area_sq_km","water_area_sq_km","high_school_grad_number","death_rate","death_numbers","percent_in_poverty"
"95","2016","Texas",4.6,455.947,27914410,69770,695662,676587,19075,4286126,10.1,2831,15.6
"96","2016","Utah",3.3,456.982,3041868,80970,219882,212818,7064,393484,22.4,635,10.2
"97","2016","Vermont",3.1,402.283,623657,73000,24906,23871,1035,130654,22.2,125,11.3
"98","2016","Virginia",4,412.549,8410106,79730,110787,102279,8508,1378019,16.7,1405,11
"99","2016","Washington",5.2,457.658,7294771,84360,184661,172119,12542,1101156,14.5,1102,11.3
"100","2016","West Virginia",6.1,398.233,1831023,53220,62756,62259,497,524971,52,884,17.9
"101","2016","Wisconsin",3.9,421.382,5772628,71770,169635,140268,29367,1233220,19.3,1074,11.8
"102","2016","Wyoming",5.4,393.137,584215,69390,253335,251470,1864,112932,17.6,99,10.9
"103","2017","Alabama",4.5,416.337,4874486,59980,135767,131171,4597,1012551,18,835,16.9
"104","2017","Alaska",6.5,372.514,739700,91960,1723337,1477953,245383,131293,20.2,147,11
"105","2017","Arizona",5,447.401,7044008,70390,295234,294207,1026,1091339,22.2,1532,14.9
"106","2017","Arkansas",3.7,419.754,3001345,58660,137732,134771,2961,681486,15.5,446,16.3
"107","2017","California",4.8,480.471,39358497,82580,423967,403466,20501,5345542,11.7,4868,13.3
"108","2017","Colorado",2.6,476.714,5611885,88420,269601,268431,1170,791683,17.6,1015,10.3
"109","2017","Connecticut",4.4,410.168,3573297,87620,14357,12542,1816,673582,30.9,1072,9.7
"110","2017","Delaware",4.5,387.189,956823,76600,6446,5047,1399,203135,37,338,13
"111","2017","District of Columbia",6.1,430.68,694906,95840,177,158,19,84119,NA,NA,16.6
"112","2017","Florida",4.3,468.92,20963613,62600,170312,138887,31424,4170468,25.1,5088,14.1
"113","2017","Georgia",4.8,467.93,10410330,68370,153910,148959,4951,1877212,14.7,1537,15.1
"114","2017","Hawaii",2.2,439.175,1424393,86780,28313,16635,11678,273162,13.8,203,9.5
"115","2017","Idaho",3.2,459.098,1717715,70160,216443,214045,2398,292202,14.4,236,12.6
"116","2017","Illinois",4.9,414.662,12778828,77790,149995,143793,6202,2281524,21.6,2778,12.5
"117","2017","Indiana",3.5,432.589,6658078,69290,94326,92789,1537,1474872,29.4,1852,13.3
"118","2017","Iowa",3.1,431.158,3141550,74840,145746,144669,1077,651750,11.5,341,10.8
"119","2017","Kansas",3.6,438.631,2908718,67090,213100,211754,1346,494849,11.8,333,11.9
"120","2017","Kentucky",4.8,417.462,4452268,58570,104656,102269,2387,988521,37.2,1566,17.1
"121","2017","Louisiana",5.1,396.545,4670560,51370,135659,111898,23761,1046025,24.5,1108,19.6
"122","2017","Maine",3.4,420.788,1334612,62870,91633,79883,11750,310724,34.4,424,11.3
"123","2017","Maryland",4,440.515,6023868,96800,32131,25142,6990,1027608,36.3,2247,9.4
"124","2017","Massachusetts",3.8,436.026,6859789,89900,27336,20202,7134,1162683,31.8,2168,10.5
"125","2017","Michigan",4.6,433.048,9973114,66510,250487,146435,104052,1966110,27.8,2694,14.1
"126","2017","Minnesota",3.5,439.092,5566230,82510,225163,206232,18930,938846,13.3,733,9.5
"127","2017","Mississippi",5.2,403.173,2988510,51030,125438,121531,3907,594140,12.2,354,19.9
"128","2017","Missouri",3.7,414.315,6106670,66660,180540,178040,2501,1268884,23.4,1367,13.4
"129","2017","Montana",4.1,434.326,1052482,67690,380831,376962,3869,206323,11.7,119,12.7
"130","2017","Nebraska",3,444.46,1915947,70260,200330,198974,1356,329232,8.1,152,10.7
